candy	sweet	4.10303905249317
mountain	high	1.7741177600186568
teacher	educate	0.9588505220777592
gold	expensive	0.4125573056229169
mother	female	0.3981716118329676
infuriating	annoying	4.667747918370468
helicopter	sky	1.7091999595510723
unknown	fame	0.8229888534948777
nice	unkind	x
television	watched	2.3679104067161916
pie	dessert	6.191563882573943
second	minute	1.1965381668131103
author	write	1.6520903092784809
wonderful	good	1.587003113731395
broken	repaired	3.0878283511127806
knife	sharp	3.1273778380560557
boots	feet	2.444811411050172
zebra	animal	2.170388569999929
obvious	hidden	1.4706812835989012
evil	morals	0.6400670266463624
racist	prejudiced	5.593885637222027
weak	strength	2.192129852322404
hurricane	storm	4.9654398539707305
suit	formal	1.1985398808707253
hungry	full	1.2644750812969414
lap	race	4.485169102771664
hamburger	sandwich	7.145368424269475
meat	animals	2.7078854799744456
angry	mad	2.6070255668760383
commercial	advertise	1.9670479714116715
volleyball	sport	2.55296797632711
corrupt	morals	5.510563264005754
democracy	government	1.7494265469371872
cowardly	brave	4.953163187119276
knight	chivalrous	3.2359679115993023
buckle	belt	5.787234313368046
blizzard	storm	4.337474311291996
carnivore	meat	4.476963677192392
honest	sincere	6.159378444860204
academy	educate	2.3544112550264247
rectangle	shape	3.8284253677775895
senate	congress	3.9124577738947672
success	failure	3.1955922480446266
heinous	evil	2.4918680873228243
scribe	write	3.3671718302992963
glass	delicate	1.6325641278645515
cat	feline	5.882399488938186
hobby	pastime	4.172747024170952
ambitious	lazy	1.3905676564637228
carefree	worries	5.196153359864543
master	dominant	-0.4952466885031704
slave	submissive	3.619359939126357
pipe	water	2.3704656686850543
dreamer	idealistic	x
verdict	judgment	3.4947356749268894
cruel	unkind	5.458345348498488
square	quadrilateral	3.6176611192931767
clumsy	grace	x
permanent	temporary	4.923436563154751
attorney	lawyer	2.8219323657887947
rain	precipitation	4.594857774984246
aluminum	metal	2.652799068379574
cough	cold	4.636389035339466
panacea	cure	5.403502171167163
denouement	plot	3.460661783484458
labyrinth	complicated	1.7614563738819355
livid	angry	2.746741925763056
aloof	connected	x
neutral	indifferent	3.4770393347447763
mallet	strike	4.021226286256631
plagiarism	wrongdoing	3.172841999894456
blatant	inconspicuous	x
objective	bias	0.8948337686492194
pragmatic	unrealistic	2.9389315646404914
priest	ordained	4.7130849020440175
neighborhood	city	2.7560035180038054
piccolo	instrument	4.039799311196393
conundrum	puzzle	x
ruse	trick	4.734775721942501
sacrosanct	holy	x
cathedral	church	3.2678263234973626
selfish	altruism	3.6168345045806976
loquacious	quiet	x
filament	lightbulb	7.274043278069157
carnival	entertainment	2.8661429471700783
inconceivable	doubtful	x
exhausting	rejuvenating	x
corpse	deceased	3.801667926227604
lamentation	sorrow	x
medal	accolade	1.0005174130711714
provisional	permanent	2.8200024007735314
foolish	sagacity	x
euphemism	inoffensive	x
anarchist	government	0.42325077439808106
propaganda	opinion	2.6346289792591984
couch	furniture	2.789561193086662
surreptitious	obvious	x
finale	musical	1.3019158108675106
listen	eavesdrop	4.1971597926268185
glutton	moderation	x
winery	merlot	8.192379319852778
articulate	mute	x
waterway	navigable	6.164235103065916
splinter	wood	3.8682834518451212
clemency	forgiveness	x
altercation	discussion	x
grain	silo	5.152655229042003
anguish	pain	4.5942911211858215
predictable	spontaneity	x
hidden	covert	2.4972304421313543
cat	shed	0.7944210611061636
bluff	intentions	2.049256965659281
sharp	blunt	4.337834651213236
game	spectators	1.5165090630621123
arid	moisture	3.627205253726455
pain	sensation	4.214555270333192
bohemian	unconventional	3.8320881544295813
buttress	wall	4.069120866000321
jury	deliberate	3.4433584244595656
saccharine	sweet	x
altruism	selfishness	7.115416172680532
bishop	ordained	5.35371719792242
pragmatic	practical	3.311593393072992
cauldron	pot	4.40206254388649
precept	guidance	x
frail	brawn	x
acrophobia	heights	7.637637652165124
heretic	unorthodox	x
debunk	verify	x
legend	map	0.7514297910783329
epistle	letter	3.9320550191332346
archaeologist	hieroglyphics	x
thwart	frustrate	5.1825277115454105
enigma	mysterious	2.0537496940529434
veil	enshroud	7.39175184634134
poison	noxious	3.8909881278142713
placid	tumultuous	x
blatant	obvious	3.773170270848936
blasphemy	religion	3.2368156811701314
tawdry	taste	x
tedium	excitement	x
pragmatism	philosophy	4.1834095747837905
element	aggregate	-0.01506098291132054
decanter	pour	x
concession	placate	x
vitriol	bitter	x
virulent	poisonous	2.9014927013816565
castigate	criticize	7.825836560099818
water	cold	1.756147374676331
river	ugly	-0.41307054821372136
senator	represent	1.8031977786110167
jewelry	dull	x
vegetable	green	1.9187131389162444
ruined	ugly	x
canoe	street	-0.8217803695687923
rapid	speed	1.1299549108230758
hideous	pretty	2.869450827833278
record	baked	-1.5662247197660848
bacon	meat	4.215451120600953
