strong	stronger	-2.714300294845926
simple	simpler	-3.0988437013050047
low	lower	-2.3341397944235025
heavy	heavier	-2.6216828638474916
high	higher	-2.743471013171365
tight	tighter	-2.9301949339760327
sharp	sharper	-2.65167514840382
loud	louder	-0.8240063566788297
safe	safer	-2.4289591529866503
bad	worse	0.15655069146204614
good	better	-2.020664408327888
short	shorter	-3.366647564714407
hot	hotter	-2.5870809715629877
cold	colder	-2.205407363512222
tall	taller	-0.5738008798700824
weak	weaker	-1.6883829551008032
wide	wider	-2.676886467230686
smart	smarter	-0.505894494714697
long	longer	-2.7857930391024457
deep	deeper	-1.997963095133669
slow	slower	-1.7852427051776927
old	older	-2.8303475364953674
small	smaller	-3.305979311443716
great	greater	-3.783647539106327
quick	quicker	-2.2485277267523665
hard	harder	-1.6709162434704388
new	newer	-4.970989441870501
cheap	cheaper	-1.8251436983733342
easy	easier	-3.179627758606413
warm	warmer	-1.4115064571812994
big	bigger	-2.4454861979615936
young	younger	-3.2684112245688626
fast	faster	-1.489444488722532
tough	tougher	-1.5161297023595368
consistent	inconsistent	-1.3181625341768377
efficient	inefficient	-1.149859689444584
convincing	unconvincing	-3.710941796168481
possible	impossible	-2.839583757860932
rational	irrational	1.7597123846511766
sure	unsure	-3.500300160486174
decided	undecided	-4.3114919720773
likely	unlikely	-3.4051648446712934
possibly	impossibly	None
fortunate	unfortunate	-0.07648802087400093
acceptable	unacceptable	1.1836297690994273
competitive	uncompetitive	-1.8277201938919563
aware	unaware	-2.4927727083909956
known	unknown	-3.231054726976568
pleasant	unpleasant	0.5882629282362755
reasonable	unreasonable	-0.05543119887292905
informative	uninformative	1.3081409101151986
productive	unproductive	0.36692928983995626
tasteful	distasteful	None
clear	unclear	-4.181597199540987
logical	illogical	-0.972130601682066
certain	uncertain	-3.468888464749445
convenient	inconvenient	-1.918663412795916
impressive	unimpressive	-3.6195270159785964
comfortable	uncomfortable	-1.8462508435368916
ethical	unethical	-0.18805450913353006
responsible	irresponsible	-3.114887542220974
Beirut	Lebanon	2.823495021098196
Manama	Bahrain	None
Paramaribo	Suriname	None
Libreville	Gabon	None
Zagreb	Croatia	2.60333627153301
Banjul	Gambia	None
Khartoum	Sudan	None
Tripoli	Libya	None
Algiers	Algeria	None
Kingston	Jamaica	2.2457836468348193
Montevideo	Uruguay	None
Doha	Qatar	None
Abuja	Nigeria	3.2536499249512643
Managua	Nicaragua	None
Sofia	Bulgaria	2.6374620623369895
Harare	Zimbabwe	None
Dublin	Ireland	1.3759797317822753
Lusaka	Zambia	None
Muscat	Oman	None
Vaduz	Liechtenstein	None
Antananarivo	Madagascar	None
Tirana	Albania	None
Rabat	Morocco	None
Chisinau	Moldova	None
Dhaka	Bangladesh	2.872462641487843
Gaborone	Botswana	None
Amman	Jordan	3.106655478105143
Vilnius	Lithuania	None
Tbilisi	Georgia	2.1667567453343084
Maputo	Mozambique	None
Luanda	Angola	None
Quito	Ecuador	None
Ashgabat	Turkmenistan	None
Lima	Peru	2.7436681743118787
Vientiane	Laos	None
Roseau	Dominica	None
Minsk	Belarus	None
Ljubljana	Slovenia	None
Budapest	Hungary	2.6076359587822657
Copenhagen	Denmark	2.482226665318259
Valletta	Malta	None
Apia	Samoa	None
Monrovia	Liberia	None
Suva	Fiji	None
Kigali	Rwanda	None
Nouakchott	Mauritania	None
Podgorica	Montenegro	None
Belgrade	Serbia	2.442137203741465
Funafuti	Tuvalu	None
Santiago	Chile	2.5831280170196393
Jakarta	Indonesia	2.870786915009918
Tallinn	Estonia	None
Bratislava	Slovakia	None
Bujumbura	Burundi	None
Niamey	Niger	None
Accra	Ghana	None
Kiev	Ukraine	2.263653643113822
Ankara	Turkey	3.027916954033932
Skopje	Macedonia	None
Conakry	Guinea	3.559134268619655
Bamako	Mali	None
Dushanbe	Tajikistan	None
Bucharest	Romania	2.429864001430988
Tegucigalpa	Honduras	None
Georgetown	Guyana	None
Kathmandu	Nepal	None
Taipei	Taiwan	2.6315459052229535
Lilongwe	Malawi	None
Astana	Kazakhstan	None
Damascus	Syria	2.333975212485112
Thimphu	Bhutan	None
Nairobi	Kenya	3.4112768631688515
Nuuk	Greenland	None
Warsaw	Poland	1.4230124888809323
Bishkek	Kyrgyzstan	None
Asmara	Eritrea	None
Dakar	Senegal	None
Tashkent	Uzbekistan	None
Brussels	Belgium	2.2521846126126235
Yerevan	Armenia	None
Windhoek	Namibia	None
Nassau	Bahamas	None
Kampala	Uganda	None
Nicosia	Cyprus	None
warm	warmest	-1.6420691520235742
short	shortest	-4.308961852174942
bright	brightest	-2.3042406017767805
cool	coolest	-2.5317588355159337
low	lowest	-2.575006154184338
small	smallest	-4.090141221032772
smart	smartest	-3.6467756703545393
dark	darkest	-3.3045646761041882
simple	simplest	-2.2417487732709134
fast	fastest	-1.996806735011597
hot	hottest	-2.9872121904873525
quick	quickest	-4.003833379442971
cold	coldest	-2.6045405034759286
high	highest	-3.2881181880328065
strange	strangest	-2.7575409491758442
long	longest	-2.356454879627348
tasty	tastiest	None
slow	slowest	-2.465724203195574
old	oldest	-2.6219417813036117
young	youngest	-4.153993431766437
tall	tallest	-0.05477074291336721
weak	weakest	-2.733646418199254
great	greatest	-3.829968890007012
bad	worst	-2.105614074509954
wide	widest	-0.5633625524400367
lucky	luckiest	-2.4935002825333563
large	largest	-3.391101420620204
easy	easiest	-4.447821168219046
weird	weirdest	None
sweet	sweetest	-1.9915126630489048
big	biggest	-3.3106730047416613
implementing	implemented	-2.480356164293789
listening	listened	-2.9533166381609948
hitting	hit	-1.8215303808667556
describing	described	-3.4242407085610025
dancing	danced	-1.334407893365286
hiding	hid	-3.349336753563213
singing	sang	-2.1004157429135315
