hitler	dictator	-0.9263749203276921
rousseau	writer	-3.1972086939922626
kant	philosopher	-0.4051355053657434
stalin	dictator	-1.688284697702173
descartes	mathematician	-1.9253046218511956
spinoza	philosopher	0.12404355645327186
truman	president	-0.5900807360176126
beethoven	composer	-0.9405309827899503
hume	philosopher	-0.5804052735188595
tolstoi	novelist	None
newton	scientist	-2.87973365658714
confucius	philosopher	-0.46735892323791983
einstein	physicist	-0.7826105939106979
hawking	physicist	0.3131844023222317
moses	prophet	-0.5595631334632275
wagner	composer	-1.4724461253134478
pacino	actor	0.32917692529503706
jolie	actress	-1.1486234359892178
dickens	novelist	-1.3428012158497822
shakespeare	playwright	-1.3599584501399207
michelangelo	sculptor	-0.5179695236821703
darwin	naturalist	-0.675228955640814
wittgenstein	philosopher	0.40161274706156613
rembrandt	painter	-0.5466752523715855
kepler	mathematician	-0.6080067077144615
strauss	composer	-1.099899945964596
napoleon	emperor	-0.5809672940529335
schwarzenegger	actor	-1.708842552140809
edison	inventor	-0.23958557694736335
pascal	mathematician	-1.4386610682535945
mencius	philosopher	0.8090233588823744
hegel	philosopher	-0.2734831643708842
haydn	composer	-0.8323064055877187
mozart	composer	-1.3363588040539867
locke	philosopher	-1.129427091567704
lincoln	president	-1.567379496318446
aristotle	philosopher	-0.6117405145558253
caesar	emperor	-1.051497448011686
maxwell	physicist	-3.051371244041194
marx	philosopher	-2.103681997249198
balzac	novelist	-0.9882704502842484
picasso	painter	-1.7439664690182213
euler	mathematician	-0.5743083031052857
columbus	explorer	-2.3395449842918774
dante	poet	-1.4097171769340393
regional	regionally	-3.344298023463978
federal	federally	-2.2917315771374667
serious	seriously	-3.1698987482403336
interesting	interestingly	None
similar	similarly	-3.5162197485291915
rare	rarely	-3.3997805536222874
internal	internally	-2.845183936659954
apparent	apparently	-4.205726604204243
visual	visually	-2.370486621976661
nice	nicely	-1.9186370516920772
additional	additionally	-3.696994073328344
physical	physically	-2.625114745015348
extensive	extensively	-4.892570872313977
legal	legally	-2.3445307854465414
popular	popularly	-4.841089606784361
historical	historically	-2.242416490457697
important	importantly	-5.903090040596669
according	accordingly	-6.084701156481061
increasing	increasingly	-2.8647239376757994
practical	practically	-3.921821471858461
effective	effectively	-3.5214862124963457
obvious	obviously	-4.0542342312805255
digital	digitally	-1.9773139219967488
beautiful	beautifully	-2.252868115358803
significant	significantly	-4.317626254303681
actual	actually	-2.7788788388098875
critical	critically	-2.3268398562528305
famous	famously	-4.5915917087681475
subsequent	subsequently	-3.8205899566343726
typical	typically	-2.740373937761905
successful	successfully	-4.614517188198402
global	globally	-2.653937096387484
cultural	culturally	-2.7536739778107324
virtual	virtually	-3.3493639077122133
clinical	clinically	-0.8647645989591735
political	politically	-2.4576310392614795
decided	decidedly	-5.755264978449056
strong	strongly	-3.3857460113271167
traditional	traditionally	-2.654281625250067
creative	creatively	-2.9317090840782214
environmental	environmentally	-1.8300953113385183
previous	previously	-3.211486544760829
financial	financially	-3.388659946941703
mental	mentally	-1.8429099770264619
