hitler	dictator	4.43461056990211
rousseau	writer	0.5752885425623022
kant	philosopher	4.404387910663749
stalin	dictator	3.670601776991057
descartes	mathematician	3.211618120239511
spinoza	philosopher	4.942130098152045
truman	president	2.5969099265618527
beethoven	composer	3.209740431869912
hume	philosopher	4.221621523621107
tolstoi	novelist	None
newton	scientist	1.686152859110576
confucius	philosopher	4.335922292829912
einstein	physicist	4.380129148474914
hawking	physicist	5.478463913957008
moses	prophet	4.496330424686625
wagner	composer	2.6667015678159687
pacino	actor	4.119438982484567
jolie	actress	2.7627847376146226
dickens	novelist	3.421853870509437
shakespeare	playwright	3.414170391101746
michelangelo	sculptor	4.3239715631661655
darwin	naturalist	4.700818920745653
wittgenstein	philosopher	5.213344041600863
rembrandt	painter	3.786857993500324
kepler	mathematician	4.525676277153765
strauss	composer	3.0457341697646902
napoleon	emperor	3.3312142391597983
schwarzenegger	actor	2.028815721598518
edison	inventor	4.7868234397945795
pascal	mathematician	3.6904774317194695
mencius	philosopher	5.628311851584553
hegel	philosopher	4.544047955826143
haydn	composer	3.312611493662606
mozart	composer	2.814390797021191
locke	philosopher	3.6694461361035944
lincoln	president	1.5542929108183594
aristotle	philosopher	4.203625809391345
caesar	emperor	2.87106229688446
maxwell	physicist	2.0776943081831227
marx	philosopher	2.7082559220370648
balzac	novelist	3.7856515031824562
picasso	painter	2.5887523500676455
euler	mathematician	4.559802695748116
columbus	explorer	2.2330132243117053
dante	poet	2.7554287554812213
regional	regionally	2.3916852047976436
federal	federally	3.1183705423092993
serious	seriously	1.4508454028163933
interesting	interestingly	None
similar	similarly	1.2636163856975708
rare	rarely	1.1454336620997112
internal	internally	2.5155439028029325
apparent	apparently	0.1609656148066882
visual	visually	2.9612933792760563
nice	nicely	4.1325764578764
additional	additionally	1.5095763256899846
physical	physically	2.1324291793826173
extensive	extensively	-0.34911881847113185
legal	legally	2.4568688055521943
popular	popularly	0.30803867373257904
historical	historically	2.3585916711536936
important	importantly	-0.3127410507435871
according	accordingly	-0.8577739642244391
increasing	increasingly	1.4464822912107524
practical	practically	1.2166447947345944
effective	effectively	0.8422540972740178
obvious	obviously	1.1481133299665396
digital	digitally	3.3984141582225296
beautiful	beautifully	3.3315450468332135
significant	significantly	0.035282191651662735
actual	actually	1.1492469979369238
