sect	religion	3.2870554703222314
decanter	pour	x
unprecedented	forerunners	x
erudite	uneducated	x
truism	obvious	3.550636609345034
laconic	concise	6.672469071337763
lie	prevaricate	x
concession	placate	x
powerless	efficacy	x
rivulet	small	0.8245602477604685
wretched	cheerful	x
level	hierarchy	2.7762936679729733
peccadillo	sin	x
tyro	inexperienced	x
blandishment	coax	x
pragmatism	philosophy	4.1834095747837905
vitriol	spiteful	x
invective	blame	x
vernacular	regional	0.8427015190871298
virulent	poisonous	2.9014927013816565
grenadier	army	2.2054070639307217
fake	authenticity	2.547948082984167
nefarious	virtuous	x
castigate	criticize	7.825836560099818
playful	banter	4.7116518532272735
embargo	commerce	2.3288660229290508
pathogen	harmful	2.077050679303126
conceited	bumptious	x
clause	sentence	3.9898857046177687
renegade	allegiance	x
sanguine	sickly	x
tripod	camera	4.580991694462192
cello	played	1.1699224397979315
demented	lucidity	x
defendant	plaintiff	6.325596574941246
mud	opaque	2.623624710952648
assuage	mollify	x
memorable	unforgettable	4.035542275283767
antipathy	approval	x
bailiff	courthouse	3.376001939921661
pan	saute	x
kindling	combustible	x
print	lithograph	4.399153233194023
dermal	skin	5.076129026862218
atrocious	bad	1.7078045689970909
exaggeration	caricature	3.443110508697352
tenable	indefensible	x
inchoate	experience	x
branch	bureaucracy	-0.03412567854086137
stock	inventory	2.6797129135074838
estimate	approximate	2.2781303245811984
heart	cardiac	4.490118636655477
inevitable	preventable	x
disingenuous	charlatan	x
authenticity	fraudulent	1.05864770954065
polish	shiny	2.2113620656648427
flatter	rebuff	x
bombastic	turgid	8.182292807682108
lecher	salacious	x
eccentric	codger	x
legerdemain	deception	x
clean	immaculate	3.803797641692632
dilettante	dabble	9.117051422427274
hallucinogen	drug	5.062146137568919
subterfuge	deceive	x
abiding	ephemeral	x
expulsion	school	1.9205854535426468
martinet	discipline	5.154381662541448
abolition	slavery	7.244202309804021
obdurate	stubborn	x
defame	venerate	x
control	irrepressible	x
farce	ridiculous	3.3322866306768764
asphyxia	air	0.890610836828168
indulge	epicurean	x
immune	susceptible	4.141702903131367
demulcent	unguent	x
abominable	disagreeable	x
uncommon	outlier	x
beseech	request	x
musician	music	1.9916015699880585
whale	ocean	2.9912074055016573
terrified	scared	3.6605627290064526
sad	happiness	-0.5100123871425815
tongue	taste	3.576191039420449
